datetime,timestamp,alx_lx,tof_distance_mm
2026-06-06T12:57:34,1780743454,622.08,987
2026-06-06T12:57:39,1780743459,638.08,473
2026-06-06T12:57:44,1780743464,2364.16,0
2026-06-06T12:57:49,1780743469,253.12,814
2026-06-06T12:57:54,1780743474,499.52000000000004,0
2026-06-06T12:57:59,1780743479,109.76,681
2026-06-06T12:58:04,1780743484,322.88,0
2026-06-06T12:58:09,1780743489,236.48000000000002,889
2026-06-06T12:58:14,1780743494,129.6,518
2026-06-06T12:58:19,1780743499,150.4,522
2026-06-06T12:58:24,1780743504,155.20000000000002,515
2026-06-06T12:58:29,1780743509,200.32,519
2026-06-06T12:58:34,1780743514,189.12,531
2026-06-06T12:58:39,1780743519,171.52,512
2026-06-06T12:58:44,1780743524,126.4,506
2026-06-06T12:58:49,1780743529,196.8,515
2026-06-06T12:58:54,1780743534,161.28,510
2026-06-06T12:58:59,1780743539,216.64000000000001,541
2026-06-06T12:59:04,1780743544,211.84,558
2026-06-06T12:59:09,1780743549,173.44,532
2026-06-06T12:59:14,1780743554,181.12,539
2026-06-06T12:59:19,1780743559,163.84,532
2026-06-06T12:59:24,1780743564,157.76,537
2026-06-06T12:59:29,1780743569,173.12,532
2026-06-06T12:59:34,1780743574,169.6,539
2026-06-06T12:59:39,1780743579,192.0,633
2026-06-06T12:59:44,1780743584,179.20000000000002,559
2026-06-06T12:59:49,1780743589,216.32,696
2026-06-06T12:59:54,1780743594,231.68,564
2026-06-06T12:59:59,1780743599,207.68,528
2026-06-06T13:00:04,1780743604,201.28,530
2026-06-06T13:00:09,1780743609,189.44,530
2026-06-06T13:00:14,1780743614,206.08,537
2026-06-06T13:00:19,1780743619,218.24,560
2026-06-06T13:00:24,1780743624,212.8,549
2026-06-06T13:00:29,1780743629,206.72,535
2026-06-06T13:00:34,1780743634,197.12,531
2026-06-06T13:00:39,1780743639,198.08,534
2026-06-06T13:00:44,1780743644,168.64000000000001,528
2026-06-06T13:00:49,1780743649,169.28,526
2026-06-06T13:00:54,1780743654,166.08,530
2026-06-06T13:00:59,1780743659,183.36,532
2026-06-06T13:01:04,1780743664,184.64000000000001,531
2026-06-06T13:01:09,1780743669,189.44,537
2026-06-06T13:01:14,1780743674,221.44,548
2026-06-06T13:01:19,1780743679,212.16,544
2026-06-06T13:01:24,1780743684,230.08,577
2026-06-06T13:01:29,1780743689,231.68,570
2026-06-06T13:01:34,1780743694,226.24,586
2026-06-06T13:01:39,1780743699,256.0,583
2026-06-06T13:01:44,1780743704,164.48,538
2026-06-06T13:01:49,1780743709,204.48000000000002,533
2026-06-06T13:01:54,1780743714,202.88,538
2026-06-06T13:01:59,1780743719,206.72,568
2026-06-06T13:02:04,1780743724,191.04,536
2026-06-06T13:02:09,1780743729,184.64000000000001,538
2026-06-06T13:02:14,1780743734,188.16,548
2026-06-06T13:02:19,1780743739,181.76,544
2026-06-06T13:02:24,1780743744,210.24,547
2026-06-06T13:02:29,1780743749,188.8,543
2026-06-06T13:02:34,1780743754,220.48000000000002,575
2026-06-06T13:02:39,1780743759,213.12,570
2026-06-06T13:02:44,1780743764,212.8,557
2026-06-06T13:02:49,1780743769,207.36,554
2026-06-06T13:02:54,1780743774,212.16,575
2026-06-06T13:02:59,1780743779,181.12,556
2026-06-06T13:03:04,1780743784,179.52,550
2026-06-06T13:03:09,1780743789,183.36,553
2026-06-06T13:03:14,1780743794,179.52,548
2026-06-06T13:03:19,1780743799,204.16,582
2026-06-06T13:03:24,1780743804,208.96,552
2026-06-06T13:03:29,1780743809,195.52,595
2026-06-06T13:03:34,1780743814,182.4,571
2026-06-06T13:03:39,1780743819,180.8,570
2026-06-06T13:03:44,1780743824,179.20000000000002,565
2026-06-06T13:03:49,1780743829,184.96,552
2026-06-06T13:03:54,1780743834,179.84,557
2026-06-06T13:03:59,1780743839,179.84,558
2026-06-06T13:04:04,1780743844,172.16,550
2026-06-06T13:04:09,1780743849,171.52,545
2026-06-06T13:04:14,1780743854,162.24,547
2026-06-06T13:04:19,1780743859,162.56,551
2026-06-06T13:04:24,1780743864,157.12,542
2026-06-06T13:04:29,1780743869,147.52,543
2026-06-06T13:04:34,1780743874,136.96,540
2026-06-06T13:04:39,1780743879,138.88,544
2026-06-06T13:04:44,1780743884,139.52,549
2026-06-06T13:04:49,1780743889,135.04,551
2026-06-06T13:04:54,1780743894,128.0,550
2026-06-06T13:04:59,1780743899,131.2,549
2026-06-06T13:05:04,1780743904,131.84,551
2026-06-06T13:05:09,1780743909,159.68,556
2026-06-06T13:05:14,1780743914,163.84,563
2026-06-06T13:05:19,1780743919,157.44,554
2026-06-06T13:05:24,1780743924,149.12,557
2026-06-06T13:05:29,1780743929,146.88,555
2026-06-06T13:05:34,1780743934,143.04,556
2026-06-06T13:05:39,1780743939,144.32,553
2026-06-06T13:05:44,1780743944,144.0,554
2026-06-06T13:05:49,1780743949,136.0,548
2026-06-06T13:05:54,1780743954,141.76,555
2026-06-06T13:05:59,1780743959,140.8,555
2026-06-06T13:06:04,1780743964,177.6,555
2026-06-06T13:06:09,1780743969,266.56,395
2026-06-06T13:06:14,1780743974,190.4,541
2026-06-06T13:06:19,1780743979,184.96,538
2026-06-06T13:06:24,1780743984,203.20000000000002,556
2026-06-06T13:06:29,1780743989,192.96,542
2026-06-06T13:06:34,1780743994,197.12,554
2026-06-06T13:06:39,1780743999,215.04,556
2026-06-06T13:06:44,1780744004,204.16,547
2026-06-06T13:06:49,1780744009,184.64000000000001,541
2026-06-06T13:06:54,1780744014,188.16,538
2026-06-06T13:06:59,1780744019,191.36,543
2026-06-06T13:07:04,1780744024,205.44,550
2026-06-06T13:07:09,1780744029,196.48000000000002,554
2026-06-06T13:07:14,1780744034,184.0,540
2026-06-06T13:07:19,1780744039,180.16,538
2026-06-06T13:07:24,1780744044,184.0,535
2026-06-06T13:07:29,1780744049,197.12,541
2026-06-06T13:07:34,1780744054,183.04,534
2026-06-06T13:07:39,1780744059,183.04,533
2026-06-06T13:07:44,1780744064,172.48,523
2026-06-06T13:07:49,1780744069,183.36,528
2026-06-06T13:07:54,1780744074,169.92000000000002,521
2026-06-06T13:07:59,1780744079,168.32,522
2026-06-06T13:08:04,1780744084,150.72,514
2026-06-06T13:08:09,1780744089,150.4,515
2026-06-06T13:08:14,1780744094,171.52,540
2026-06-06T13:08:19,1780744099,206.08,570
2026-06-06T13:08:24,1780744104,185.92000000000002,552
2026-06-06T13:08:29,1780744109,186.56,547
2026-06-06T13:08:34,1780744114,215.68,556
2026-06-06T13:08:39,1780744119,194.56,551
2026-06-06T13:08:44,1780744124,195.20000000000002,552
2026-06-06T13:08:49,1780744129,148.8,512
2026-06-06T13:08:54,1780744134,205.76,557
2026-06-06T13:08:59,1780744139,163.84,518
